# num_workers = 64
# num_cells = 256
# seed_for_environment = 9959898
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 1000
# sub_batch_size = 64
# num_epochs = 10
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.1
# reward_engineering = False
# minimum_number_of_qubits = 12
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# Number of workers: 64
# Does torch identify cuda: False
evaluation number	reward	policy entropy
1	0.011988000012934208	7.310791261261329e-07
1	0.011738250032067299	9.727266387926647e-07
1	0.012237749993801117	7.310791261261329e-07
1	0.012237749993801117	9.727266387926647e-07
1	0.011988000012934208	7.310791261261329e-07
1	0.01123875007033348	9.727266387926647e-07
1	0.012487499974668026	7.310791261261329e-07
1	0.012487499974668026	9.727266387926647e-07
1	0.012237749993801117	7.310791261261329e-07
1	0.012487499974668026	9.727266387926647e-07
1	0.012487499974668026	7.310791261261329e-07
1	0.011988000012934208	9.727266387926647e-07
1	0.011988000012934208	7.310791261261329e-07
2	0.013236749917268753	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.012487499974668026	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.012237749993801117	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.012237749993801117	1.6680965018167626e-06
2	0.012487499974668026	1.2441515764294309e-06
2	0.011738250032067299	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.011738250032067299	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.011988000012934208	1.6680965018167626e-06
2	0.011988000012934208	1.2441515764294309e-06
2	0.011738250032067299	1.6680965018167626e-06
2	0.011988000012934208	1.2441515764294309e-06
2	0.011988000012934208	1.6680965018167626e-06
2	0.011738250032067299	1.2441515764294309e-06
2	0.011988000012934208	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.012986999936401844	1.6680965018167626e-06
2	0.012237749993801117	1.2441515764294309e-06
2	0.012487499974668026	1.6680965018167626e-06
2	0.011988000012934208	1.2441515764294309e-06
2	0.012237749993801117	1.6680965018167626e-06
2	0.012487499974668026	1.2441515764294309e-06
2	0.012487499974668026	1.6680965018167626e-06
2	0.01148850005120039	1.2441515764294309e-06
